# title: Thermal WIMP pair production
# process: mu+ mu- -> electroweak-multiplet pair (thermal-relic higgsino- and wino-like WIMPs)
# source: Z. Liu and X. Wang, private communication
# notes: the WIMP mass is fixed to the thermal-relic value, so sqrt_s is scanned at fixed kinematic threshold; '_gamma' columns require an ISR photon with p_T > 10 GeV and |eta| < 2.44. Charged pairs are the disappearing-track / appearing-pion signature; neutral pairs are invisible
# columns: sqrt_s [TeV], sigma_higgsino_charged_pair [pb], sigma_higgsino_neutral_pair [pb], sigma_wino_charged_pair [pb], sigma_higgsino_charged_pair_gamma [pb], sigma_higgsino_neutral_pair_gamma [pb], sigma_wino_charged_pair_gamma [pb]
2.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2.25, 0.00724956, 0.0029962, 0.0, 0.00010077687, 4.1349e-05, 0.0
2.3000000000000003, 0.0095165, 0.0039322, 0.0, 0.00026620627, 0.000107723, 0.0
2.35, 0.010843100000000001, 0.0044801, 0.0, 0.0004087401, 0.000164236, 0.0
2.4000000000000004, 0.0116714, 0.0048215, 0.0, 0.0005251498, 0.00020989, 0.0
2.45, 0.012181299999999999, 0.0050308, 0.0, 0.0006206884, 0.00024466, 0.0
2.5, 0.0124831, 0.0051568, 0.0, 0.0007061271, 0.00027253, 0.0
2.5500000000000003, 0.0126361, 0.0052183, 0.0, 0.0007630052, 0.00029809, 0.0
2.6, 0.0126742, 0.0052335, 0.0, 0.0008202337, 0.00031725, 0.0
2.65, 0.0126376, 0.0052194, 0.0, 0.0008612455999999999, 0.00033041, 0.0
2.7, 0.0125463, 0.0051806, 0.0, 0.0009068541, 0.00034203, 0.0
2.75, 0.0123973, 0.0051175, 0.0, 0.0009293267, 0.00035376, 0.0
2.8, 0.0122268, 0.0050465, 0.0, 0.0009750760000000001, 0.00035736000000000003, 0.0
2.85, 0.0120271, 0.0049656, 0.0, 0.000977121, 0.00036292, 0.0
2.9, 0.0118113, 0.0048762, 0.0, 0.000992386, 0.00036678000000000004, 0.0
2.95, 0.0115835, 0.0047813, 0.0, 0.001012124, 0.00037132, 0.0
3.0, 0.011347300000000001, 0.0046848, 0.0, 0.001018678, 0.00037047, 0.0
3.0, 0.0113451, 0.0046834, 0.0, 0.001018082, 0.00036655, 0.0
3.433333333333333, 0.009308, 0.0038405, 0.0, 0.001005228, 0.00034681999999999996, 0.0
3.8666666666666667, 0.00757123, 0.003122, 0.0, 0.000915659, 0.00031112999999999996, 0.0
4.3, 0.00622221, 0.0025657, 0.0, 0.000835342, 0.00026646000000000005, 0.0
4.733333333333333, 0.00518528, 0.0021391, 0.0, 0.00074767, 0.00024012, 0.0
5.166666666666666, 0.00437701, 0.0018045, 0.0, 0.000679282, 0.00020877, 0.0
5.6, 0.00373926, 0.001542, 0.0, 0.000615265, 0.000181831, 0.0
5.6, 0.0037360400000000004, 0.0015404, 0.0, 0.000604789, 0.000183098, 0.0
5.67, 0.0036539999999999997, 0.0015063, 0.00165461, 0.0006007580000000001, 0.000182563, 3.2968286e-05
5.739999999999999, 0.0035622400000000004, 0.0014686, 0.0022312, 0.000594649, 0.000178465, 7.740106e-05
5.81, 0.00347993, 0.0014353, 0.0026384, 0.000584607, 0.00017324000000000002, 0.00011727540999999999
5.88, 0.00339685, 0.0014005, 0.0029254, 0.000579348, 0.00017355, 0.0001516122
5.949999999999999, 0.0033198299999999997, 0.0013685, 0.0031383, 0.00056856, 0.00016211399999999999, 0.000181846
6.02, 0.00324156, 0.0013365, 0.0033108, 0.000555521, 0.000169502, 0.0002071454
6.09, 0.00317016, 0.0013066, 0.0034416000000000004, 0.000546769, 0.000164518, 0.0002296954
6.16, 0.00310226, 0.0012788, 0.0035412, 0.000543626, 0.000157842, 0.0002520342
6.2299999999999995, 0.00303396, 0.0012514, 0.0036164, 0.0005251780000000001, 0.000153831, 0.0002652434
6.3, 0.00296286, 0.0012217, 0.0036756999999999996, 0.000521665, 0.000156623, 0.0002836293
6.37, 0.00290225, 0.0011959, 0.0037171999999999995, 0.000508695, 0.00015233599999999999, 0.0002952138
6.4399999999999995, 0.0028414900000000003, 0.0011711, 0.0037445, 0.000509917, 0.000149418, 0.0003110299
6.51, 0.00278141, 0.0011467, 0.0037622999999999997, 0.000503864, 0.000139954, 0.0003195819
6.58, 0.00272125, 0.0011216, 0.0037706, 0.000494662, 0.000144962, 0.0003310617
6.65, 0.00266275, 0.0010977, 0.0037703, 0.000478359, 0.000140968, 0.000338784
6.72, 0.00261242, 0.0010771, 0.0037634, 0.000484435, 0.000138944, 0.000352066
6.79, 0.0025583, 0.0010554, 0.0037504, 0.000475186, 0.00013696900000000002, 0.00035549700000000003
6.86, 0.00250352, 0.0010324, 0.0037358, 0.000464055, 0.00013529200000000002, 0.000360734
6.93, 0.00245336, 0.0010112, 0.0037140000000000003, 0.00045867499999999997, 0.000133182, 0.000365472
7.0, 0.00240795, 0.00099278, 0.0036879, 0.000444629, 0.000130834, 0.000371983
7.0, 0.0024030199999999996, 0.00099045, 0.0036892, 0.000452356, 0.00012866400000000001, 0.000371712
7.5, 0.00209861, 0.00086486, 0.0034517000000000003, 0.000411522, 0.000114731, 0.000385119
8.0, 0.0018474899999999998, 0.00076135, 0.00317, 0.000367373, 0.000104611, 0.000382876
8.5, 0.00163482, 0.00067383, 0.0028935000000000002, 0.000335545, 9.109e-05, 0.000377177
9.0, 0.00146047, 0.00060176, 0.002631, 0.000321616, 8.7442e-05, 0.00036171
9.5, 0.00130918, 0.00053963, 0.0023979, 0.000295504, 7.598199999999999e-05, 0.000351457
10.0, 0.0011824000000000001, 0.00048764, 0.0021869999999999997, 0.000268468, 6.9254e-05, 0.000325755
