# accelerator: mumu3tev, parameters: pairs3tev, skip_base: 2
# columns: chain, event, n_stored, lumi_m2, n_pt_0.015, n_pt_1.4
1 1 50395 3.97933e+34 214 0
1 2 51047 3.97397e+34 224 0
1 3 50447 3.93118e+34 234 0
1 4 50613 3.97735e+34 249 0
1 5 50791 3.94932e+34 256 0
1 6 50364 3.97124e+34 237 0
1 7 51517 3.9919e+34 212 0
1 8 51296 3.98409e+34 197 0
1 9 50958 3.98764e+34 234 0
1 10 49970 3.94601e+34 207 0
1 11 50108 3.94634e+34 211 0
1 12 50265 3.95286e+34 202 0
1 13 50329 3.93463e+34 208 0
1 14 51198 3.96103e+34 230 0
1 15 50659 3.99666e+34 218 0
2 1 50640 3.97492e+34 220 0
2 2 50910 4.00614e+34 245 0
2 3 51299 3.98146e+34 208 0
2 4 50857 3.99369e+34 240 0
2 5 50106 3.95148e+34 212 0
2 6 50449 3.97572e+34 211 0
2 7 50634 3.9849e+34 231 0
2 8 50796 3.98633e+34 226 0
2 9 50937 3.98106e+34 225 0
2 10 50535 3.96125e+34 216 0
2 11 50551 3.95936e+34 227 0
2 12 50805 3.9791e+34 229 0
2 13 50690 3.96098e+34 221 0
2 14 51471 4.00148e+34 223 0
2 15 51352 3.97437e+34 228 0
3 1 50216 3.94591e+34 251 0
3 2 51245 3.98688e+34 253 0
3 3 50649 3.95587e+34 189 0
3 4 52032 4.02374e+34 221 0
3 5 50492 3.9478e+34 233 0
3 6 50641 3.992e+34 250 0
3 7 51558 4.0255e+34 240 0
3 8 51058 3.9834e+34 215 0
3 9 51004 3.93524e+34 258 0
3 10 50228 3.9626e+34 202 0
3 11 51109 3.9642e+34 236 0
3 12 51098 3.95935e+34 227 0
3 13 50952 3.96242e+34 236 0
3 14 50907 3.99379e+34 243 0
3 15 51323 4.00723e+34 231 0
4 1 50529 3.951e+34 214 0
4 2 50680 3.97132e+34 237 0
4 3 51207 3.99415e+34 192 0
4 4 50136 3.95185e+34 207 0
4 5 51170 3.96933e+34 197 0
4 6 50713 3.95283e+34 217 0
4 7 50798 3.94998e+34 245 0
4 8 50134 3.94938e+34 221 0
4 9 51318 3.99523e+34 244 0
4 10 50583 3.96266e+34 227 0
4 11 51195 3.98055e+34 220 0
4 12 50182 3.95602e+34 200 0
4 13 50188 3.98239e+34 235 0
4 14 51269 4.00723e+34 208 0
4 15 51346 4.01042e+34 236 0
